season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore,Agamescore,Bgamescore
R,R3W2,R2W2,R2W3,02,03,Miami FL,Marquette,27,23,6,8,143,East,East,B,668,660,45.0,47.0,90.0,89.0,69.909090909090907,69.0,11.204338002873914,11.489125293076057,61,71
M,R2W2,R1W2,R1W7,02,07,Tennessee,Butler,28,29,4,3,139,East,East,A,790,535,47.0,42.0,109.0,89.0,82.40625,68.34375,12.22410368646716,11.193216067667951,76,71
R,R3Y2,R2Y2,R2Y3,02,03,Duke,Michigan St,27,24,5,8,144,Midwest,Midwest,A,577,671,62.0,49.0,98.0,84.0,78.28125,67.5,8.9590539923308867,8.5073497635867774,71,61
I,R3Z2,R2Z2,R2Z3,10,03,Nevada,Georgia Tech,22,23,8,9,144,StLouis,StLouis,B,699,606,53.0,63.0,101.0,94.0,75.5,78.0625,9.6150923032490958,7.0575203683730168,67,72
L,R3Y2,R2Y2,R2Y3,07,03,UNLV,Oregon,27,26,6,7,144,Midwest,Midwest,B,817,725,50.0,55.0,103.0,116.0,75.030303030303031,76.393939393939391,12.256068004807892,12.991697567804472,72,76
H,R2X2,R1X2,R1X7,02,07,Florida,Michigan St,24,19,7,12,139,South,South,B,592,671,55.0,40.0,99.0,82.0,75.903225806451616,67.225806451612897,11.64350805886067,9.56711328498311,46,68
K,R2Z1,R1Z1,R1Z8,01,08,Connecticut,Kentucky,27,21,3,12,139,WashingtonDC,WashingtonDC,A,559,640,64.0,46.0,129.0,81.0,81.333333333333329,70.454545454545453,14.826402875351196,9.0221643210380886,87,83
F,R2Z2,R1Z2,R1Z7,02,07,North Carolina,Penn St,25,19,6,11,139,South,South,B,708,729,53.0,57.0,99.0,100.0,79.58064516129032,77.066666666666663,12.225763894725489,11.138322235517439,74,82
C,R1Y6,Y06,Y11,06,11,Clemson,W Michigan,18,20,13,7,137,Midwest,Midwest,B,551,836,52.0,59.0,102.0,106.0,72.161290322580641,79.481481481481481,9.2809092094698613,12.320925802066476,72,75
C,R1W4,W04,W13,04,13,Michigan St,E Michigan,20,19,7,9,136,East,East,A,671,581,54.0,57.0,96.0,99.0,74.0,80.071428571428569,10.673608852020292,11.710583038518655,83,71
I,R1X2,X02,X15,02,15,Connecticut,Vermont,27,22,6,8,136,Phoenix,Phoenix,A,559,828,56.0,47.0,111.0,88.0,79.090909090909093,66.400000000000006,14.024575046473236,10.78455686000434,70,53
L,R2X3,R1X3,R1X6,03,06,Texas A&M,Louisville,25,22,6,9,138,South,South,A,794,651,52.0,49.0,101.0,100.0,76.322580645161295,71.290322580645167,13.712219878102591,11.475622264067193,72,69
G,R1X2,X02,X15,02,15,Oregon,Montana,22,14,8,14,136,Midwest,Midwest,A,725,680,58.0,46.0,115.0,99.0,86.400000000000006,71.571428571428569,12.87529934927081,11.772936796582515,81,62
H,R1Z3,Z03,Z14,03,14,Duke,Colorado St,24,17,6,13,136,West,West,A,577,557,65.0,51.0,104.0,102.0,81.966666666666669,74.0,9.250165163690621,12.027745701779143,67,57
H,R1X7,X07,X10,07,10,Michigan St,Colorado,19,20,12,11,137,South,South,A,671,556,40.0,54.0,82.0,107.0,67.225806451612897,75.516129032258064,9.56711328498311,13.948918255530776,79,64
A,R3W1,R2W1,R2W4,01,12,Massachusetts,Arkansas,31,18,1,12,143,East,East,A,663,515,50.0,59.0,94.0,116.0,73.6875,78.200000000000003,9.573523058414807,12.962510044997716,79,63
R,R2Z3,R1Z3,R1Z6,14,06,Harvard,Arizona,18,25,9,7,138,West,West,B,612,511,49.0,57.0,92.0,94.0,68.925925925925924,73.28125,10.452452931767228,9.5728599925779765,51,74
J,R1W7,W07,W10,07,10,West Virginia,Creighton,21,23,10,10,136,Albuquerque,Albuquerque,A,843,562,46.0,50.0,96.0,100.0,70.225806451612897,71.515151515151516,11.647261002732138,8.9209362605570703,63,61
R,W16,W16a,W16b,16,16,James Madison,Long Island,20,20,14,13,135,East,East,A,635,648,44.0,57.0,88.0,97.0,65.17647058823529,79.454545454545453,10.872173299259675,10.117763883660739,68,55
A,R3X2,R2X2,R2X3,02,06,Wake Forest,Louisville,23,19,5,11,143,Midwest,Midwest,A,839,651,41.0,54.0,91.0,119.0,69.785714285714292,76.766666666666666,11.687469305863873,13.96348412427532,60,59
E,R2Z1,R1Z1,R1Z8,01,08,Stanford,North Carolina,25,18,3,13,139,South,South,B,783,708,62.0,52.0,119.0,102.0,79.928571428571431,76.741935483870961,13.881973334993459,10.025669447314,53,60
L,R4Z1,R3Z1,R3Z2,01,02,Kansas,UCLA,30,25,4,5,145,West,West,B,636,810,57.0,51.0,97.0,96.0,78.441176470588232,71.966666666666669,11.288180118186583,11.10700479677377,55,68
K,R1X7,X07,X10,07,10,Marquette,Alabama,19,17,10,12,136,Oakland,Oakland,B,660,504,57.0,56.0,94.0,105.0,74.206896551724142,69.965517241379317,11.210768561874744,12.949458139697263,85,90
L,R3W2,R2W2,R2W3,02,06,Georgetown,Vanderbilt,26,19,6,11,144,East,East,A,603,827,50.0,57.0,89.0,104.0,68.46875,75.733333333333334,9.340718571796284,11.661713234150271,66,65
E,R3Z1,R2Z1,R2Z4,08,04,North Carolina,Tennessee,18,23,13,6,144,South,South,A,708,790,52.0,60.0,102.0,110.0,76.741935483870961,80.34482758620689,10.025669447314,12.332395975134551,74,69
R,R1Y7,Y07,Y10,07,10,Creighton,Cincinnati,27,22,7,11,137,Midwest,Midwest,A,562,549,54.0,41.0,105.0,102.0,75.382352941176464,66.63636363636364,10.916837254449588,14.59102709288638,67,63
Q,R2W3,R1W3,R1W6,03,06,Florida St,Cincinnati,24,24,9,10,139,East,East,B,595,549,41.0,44.0,90.0,101.0,70.333333333333329,68.5,11.371593173919443,13.658115450056014,56,62
C,R3X2,R2X2,R2X3,10,03,West Virginia,Utah,20,24,8,3,143,West,West,B,843,821,55.0,51.0,101.0,89.0,78.678571428571431,69.18518518518519,11.28543173244848,10.183636245856814,62,65
K,R1W5,W05,W12,05,12,Syracuse,Texas A&M,23,21,11,8,136,Atlanta,Atlanta,B,786,794,50.0,44.0,96.0,101.0,72.852941176470594,69.206896551724142,11.130594701466068,13.448187444448514,58,66
I,R1Z1,Z01,Z16,01,16,Kentucky,Florida A&M,26,14,4,16,137,StLouis,StLouis,A,640,593,52.0,55.0,108.0,93.0,73.13333333333334,72.099999999999994,12.880821229857805,10.047719475914258,96,76
B,R2W1,R1W1,R1W8,01,09,North Carolina,Colorado,24,21,6,9,138,East,East,A,708,556,45.0,41.0,106.0,87.0,77.86666666666666,73.466666666666669,14.34975803125459,10.480882066357244,73,56
R,R2X4,R1X4,R1X5,04,05,Michigan,VA Commonwealth,25,26,7,8,138,South,South,A,670,825,52.0,51.0,95.0,109.0,74.375,77.32352941176471,11.09264959331178,12.844592792838579,78,53
Q,R3W2,R2W2,R2W3,02,06,Ohio St,Cincinnati,27,24,7,10,143,East,East,A,720,549,48.0,44.0,107.0,101.0,74.764705882352942,68.5,11.350197778866109,13.658115450056014,81,66
P,R2W3,R1W3,R1W6,03,11,Syracuse,Marquette,26,20,7,14,139,East,East,B,786,660,53.0,56.0,107.0,102.0,73.606060606060609,76.088235294117652,12.350780600871847,11.228555108605454,62,66
D,R1Z2,Z02,Z15,02,15,Stanford,Alcorn St,24,22,6,6,136,West,West,A,783,508,45.0,53.0,101.0,114.0,73.533333333333331,76.285714285714292,13.92056831534626,14.073422628834674,69,57
A,R1W1,W01,W16,01,16,Massachusetts,UCF,31,10,1,18,136,East,East,A,663,809,50.0,51.0,94.0,95.0,73.6875,74.0,9.573523058414807,11.058287131636359,92,70
M,R1Y5,Y05,Y12,05,12,Michigan St,Temple,25,21,8,12,136,South,South,A,671,789,36.0,54.0,103.0,96.0,71.303030303030297,72.606060606060609,14.132457481047917,12.185285199381518,72,61
E,R3X1,R2X1,R2X4,08,04,Wisconsin,LSU,18,26,13,5,143,West,West,A,849,655,44.0,55.0,86.0,112.0,59.967741935483872,77.225806451612897,10.544785811213542,14.329553664388975,61,48
I,R3Y2,R2Y2,R2Y3,02,03,Oklahoma St,Pittsburgh,26,28,3,4,143,EastRutherford,EastRutherford,A,722,731,57.0,46.0,96.0,90.0,78.206896551724142,68.875,10.158669850291892,9.8765821517364998,63,51
N,R3Z1,R2Z1,R2Z4,01,05,Connecticut,Purdue,27,25,4,9,143,West,West,A,559,738,60.0,48.0,117.0,90.0,77.322580645161295,69.352941176470594,13.0344137469764,9.8783255098671834,72,60
B,R2W3,R1W3,R1W6,03,06,New Mexico,Louisville,23,23,7,8,139,East,East,B,701,651,57.0,44.0,103.0,102.0,75.766666666666666,75.806451612903231,12.968380349484237,14.033184989778198,63,64
R,R1Z6,Z06,Z11,06,11,Arizona,Belmont,25,24,7,6,136,West,West,A,511,522,57.0,60.0,94.0,107.0,73.28125,76.900000000000006,9.5728599925779765,10.985900054160334,81,64
J,R1X3,X03,X14,03,14,Arizona,Utah St,27,24,6,7,136,Chicago,Chicago,A,511,822,48.0,52.0,105.0,87.0,79.666666666666671,72.967741935483872,13.537079642689751,8.9460168500729882,66,53
Q,R2Y2,R1Y2,R1Y7,15,10,Lehigh,Xavier,25,21,7,12,139,South,South,B,644,853,56.0,42.0,90.0,87.0,75.625,70.787878787878782,8.4696148082424614,9.4476470559816388,58,70
C,R2W4,R1W4,R1W5,04,05,Michigan St,Princeton,20,25,7,1,138,East,East,A,671,736,54.0,38.0,96.0,86.0,74.0,67.07692307692308,10.673608852020292,11.228134569783165,63,56
M,R1Y8,Y08,Y09,08,09,Mississippi St,Oregon,22,18,10,13,137,South,South,A,675,725,49.0,43.0,95.0,110.0,73.09375,76.806451612903231,11.492822148519483,13.968673141871166,76,69
I,R5WX,R4W1,R4X1,01,02,Duke,Connecticut,27,27,5,6,152,Atlanta,Phoenix,B,577,559,56.0,56.0,99.0,111.0,79.75,79.090909090909093,9.7275382291718593,14.024575046473236,78,79
N,R2W4,R1W4,R1W5,04,12,Xavier,Wisconsin,25,19,7,12,139,East,East,A,853,849,53.0,46.0,88.0,88.0,72.375,64.387096774193552,8.8978578882785033,9.5162930549013574,60,49
O,R1Z2,Z02,Z15,02,15,Kansas St,North Texas,25,22,7,8,136,West,West,A,637,711,63.0,56.0,95.0,107.0,79.46875,73.466666666666669,8.8104496728316875,10.93841345391958,82,62
L,R3X2,R2X2,R2X3,02,03,Memphis,Texas A&M,30,25,3,6,143,South,South,A,666,794,58.0,52.0,111.0,101.0,79.575757575757578,76.322580645161295,10.926837417168358,13.712219878102591,65,64
A,R1Y1,Y01,Y16,01,16,Connecticut,Colgate,30,15,2,14,136,Southeast,Southeast,A,559,555,63.0,51.0,116.0,101.0,83.5,72.58620689655173,11.070794912742265,13.139876767855746,68,59
J,R1X5,X05,X12,05,12,Alabama,WI Milwaukee,23,22,7,5,136,Chicago,Chicago,B,504,845,54.0,37.0,114.0,117.0,75.433333333333337,73.888888888888886,14.186104312162502,15.338968368742533,73,83
J,R1W1,W01,W16,01,16,Washington,Montana,26,16,5,12,136,Albuquerque,Albuquerque,A,840,680,66.0,46.0,114.0,90.0,86.225806451612897,69.285714285714292,13.314337839020434,11.224517625197413,88,77
O,R3W2,R2W2,R2W3,02,11,West Virginia,Washington,27,24,6,9,143,East,East,A,843,840,53.0,51.0,95.0,123.0,72.969696969696969,79.787878787878782,9.9589607845483883,15.04691164478325,69,56
N,R2W2,R1W2,R1W7,02,07,Duke,Texas,28,22,6,11,138,East,East,A,577,793,47.0,55.0,101.0,99.0,78.029411764705884,72.333333333333329,10.672904930429167,9.2266631634255027,74,69
N,R3X1,R2X1,R2X4,01,04,North Carolina,Gonzaga,27,25,4,5,144,South,South,A,708,607,69.0,50.0,116.0,95.0,89.387096774193552,78.799999999999997,11.412153734576243,11.496086290559932,98,77
O,R1X8,X08,X09,08,09,California,Louisville,23,20,10,12,137,South,South,A,539,651,62.0,48.0,95.0,102.0,77.969696969696969,76.34375,10.03172195401757,11.925836907215359,77,62
D,R1Y5,Y05,Y12,05,12,UCLA,Detroit,22,23,8,5,136,South,South,B,810,574,54.0,43.0,114.0,84.0,77.966666666666669,64.214285714285708,14.545293244055122,10.90005616911197,53,56
F,R1W1,W01,W16,01,16,Duke,Monmouth NJ,29,21,4,9,136,East,East,A,577,679,63.0,61.0,115.0,87.0,91.424242424242422,70.933333333333337,10.657278926773413,7.5318582626659198,95,52
C,R1X4,X04,X13,04,13,Maryland,Utah St,19,22,10,7,136,West,West,A,662,822,59.0,49.0,117.0,102.0,79.034482758620683,70.620689655172413,13.845160385917227,12.161028181076116,82,68
K,R1W8,W08,W09,08,09,G Washington,UNC Wilmington,26,25,2,7,136,Atlanta,Atlanta,A,599,816,53.0,46.0,102.0,87.0,78.964285714285708,67.65625,11.17868553113834,9.1569965565953986,88,85
B,R3Z2,R2Z2,R2Z3,02,06,Utah,Stanford,25,18,3,7,143,West,West,A,821,783,56.0,61.0,94.0,109.0,74.285714285714292,80.079999999999998,10.137825713834385,9.6909029507058833,82,77
N,R4Y1,R3Y1,R3Y2,01,02,Louisville,Michigan St,28,26,5,6,146,Midwest,Midwest,B,651,671,51.0,54.0,99.0,118.0,73.939393939393938,71.90625,12.429045634732635,12.802244371105404,52,64
H,R2W3,R1W3,R1W6,03,06,Syracuse,Oklahoma St,24,20,5,9,139,East,East,A,786,722,54.0,48.0,109.0,93.0,80.103448275862064,68.724137931034477,13.20487064681244,11.572549421752585,68,56
E,R3Y2,R2Y2,R2Y3,10,03,Seton Hall,Oklahoma St,20,23,9,6,144,East,East,B,764,722,50.0,53.0,97.0,103.0,72.068965517241381,75.896551724137936,10.919552329091905,14.525470679266167,66,68
E,R1X2,X02,X15,02,15,St John's,Northern Arizona,24,18,7,10,136,West,West,A,778,713,57.0,46.0,98.0,97.0,74.064516129032256,72.642857142857139,10.945423211644123,12.381478926532294,61,56
D,R1W3,W03,W14,03,14,Cincinnati,George Mason,26,18,5,10,137,East,East,A,549,602,52.0,48.0,115.0,106.0,74.645161290322577,74.214285714285708,15.417937578273358,12.689582743497978,72,48
J,R1X7,X07,X10,07,10,S Illinois,St Mary's CA,25,23,7,8,137,Chicago,Chicago,A,749,781,51.0,42.0,89.0,89.0,66.875,69.967741935483872,8.9573642886733147,9.5190263495317691,65,56
P,R2Y1,R1Y1,R1Y8,01,08,Pittsburgh,Butler,27,22,5,9,138,Southeast,Southeast,B,731,535,51.0,49.0,97.0,91.0,74.0625,72.483870967741936,11.382380847169014,10.095898137816029,70,71
I,R1Y7,Y07,Y10,07,10,Memphis,South Carolina,21,23,7,10,137,EastRutherford,EastRutherford,A,666,769,60.0,53.0,94.0,91.0,73.571428571428569,70.909090909090907,10.044289676330569,10.6951238857308,59,43
M,R1Y6,Y06,Y11,06,11,Marquette,Kentucky,23,18,9,12,136,South,South,A,660,640,51.0,51.0,100.0,92.0,75.90625,68.599999999999994,11.654825650240333,9.1126285999156131,74,66
R,R1W4,W04,W13,04,13,Syracuse,Montana,26,23,9,6,136,East,East,A,786,680,39.0,60.0,108.0,87.0,71.342857142857142,70.482758620689651,14.565993384088367,7.9724555541204305,81,34
A,R1X6,X06,X11,06,11,Louisville,Tulsa,19,22,11,7,137,Midwest,Midwest,A,651,802,54.0,55.0,119.0,141.0,76.766666666666666,76.275862068965523,13.96348412427532,17.585057433698996,82,80
O,R2Z4,R1Z4,R1Z5,13,05,Murray St,Butler,28,28,4,4,138,West,West,B,687,535,55.0,48.0,94.0,91.0,76.09375,70.09375,9.8626802106476106,8.1676166007899766,52,54
I,R2Z2,R1Z2,R1Z7,02,10,Gonzaga,Nevada,27,22,2,8,138,StLouis,StLouis,B,607,699,63.0,53.0,97.0,101.0,82.34482758620689,75.5,8.535022623119989,9.6150923032490958,72,91
H,R1Y6,Y06,Y11,06,11,Missouri,S Illinois,21,24,10,6,136,Midwest,Midwest,A,676,749,47.0,56.0,98.0,94.0,71.774193548387103,74.533333333333331,11.44047618403088,9.156903892085408,72,71
P,R3Z2,R2Z2,R2Z3,10,11,Florida St,VA Commonwealth,21,23,10,11,144,Southwest,Southwest,B,595,825,44.0,51.0,97.0,101.0,69.322580645161295,71.529411764705884,13.27716229100032,11.32471345986718,71,72
B,R3W1,R2W1,R2W4,01,05,North Carolina,California,24,21,6,8,144,East,East,A,708,539,45.0,56.0,106.0,97.0,77.86666666666666,76.379310344827587,14.34975803125459,9.6612050119535517,63,57
H,R3Y2,R2Y2,R2Y3,02,03,Pittsburgh,Marquette,26,23,4,5,143,Midwest,Midwest,B,731,660,56.0,60.0,96.0,105.0,74.599999999999994,78.392857142857139,10.021975853094039,11.935359488614031,74,77
A,R1W3,W03,W14,03,14,Texas Tech,N Illinois,28,19,1,9,137,East,East,A,796,690,62.0,49.0,101.0,115.0,81.827586206896555,73.571428571428569,9.878813852842864,15.270018643988459,74,73
O,R1W7,W07,W10,07,10,Clemson,Missouri,21,22,10,10,137,East,East,B,551,676,47.0,52.0,102.0,106.0,73.290322580645167,77.5625,12.613851956728535,14.777384536852251,78,86
J,R2Y2,R1Y2,R1Y7,02,07,Kentucky,Cincinnati,25,24,5,7,138,Austin,Austin,A,640,549,52.0,45.0,94.0,95.0,73.733333333333334,76.41935483870968,11.462790042374307,11.091334000306166,69,60
D,R2Y2,R1Y2,R1Y7,02,10,Maryland,Creighton,25,21,5,8,138,South,South,A,662,562,62.0,57.0,132.0,95.0,85.733333333333334,76.965517241379317,14.769187143810214,9.9740447943674049,75,63
I,R1Z8,Z08,Z09,08,09,Washington,UAB,19,20,11,9,137,StLouis,StLouis,B,840,805,62.0,55.0,104.0,94.0,81.433333333333337,74.551724137931032,11.520079089234684,10.162765734394156,100,102
P,R2Z1,R1Z1,R1Z8,01,09,Kansas,Illinois,32,19,2,13,139,Southwest,Southwest,A,636,623,63.0,49.0,113.0,88.0,82.382352941176464,71.28125,11.747376943467131,10.551168107726273,73,59
K,R3X2,R2X2,R2X3,02,03,UCLA,Gonzaga,27,27,6,3,143,Oakland,Oakland,A,810,607,50.0,60.0,86.0,109.0,68.575757575757578,80.099999999999994,9.2573649730504197,13.108139964668268,73,71
P,R1Y5,Y05,Y12,05,12,Kansas St,Utah St,21,29,10,3,136,Southeast,Southeast,A,637,822,44.0,51.0,100.0,89.0,72.709677419354833,71.28125,12.425762904824373,9.9725698010843722,73,68
I,R2Y2,R1Y2,R1Y7,02,07,Oklahoma St,Memphis,26,21,3,7,139,EastRutherford,EastRutherford,A,722,666,57.0,60.0,96.0,94.0,78.206896551724142,73.571428571428569,10.158669850291892,10.044289676330569,70,53
G,R4Z1,R3Z1,R3Z2,12,02,Missouri,Oklahoma,21,27,11,4,145,West,West,B,676,721,60.0,55.0,117.0,109.0,79.5,78.225806451612897,13.026415470113028,14.136910456420864,75,81
N,R1Y7,Y07,Y10,07,10,Boston College,USC,22,21,11,12,137,Midwest,Midwest,B,527,818,50.0,46.0,99.0,91.0,74.939393939393938,68.36363636363636,10.257116949588662,9.5213259256744358,55,72
J,R2X1,R1X1,R1X8,01,09,Illinois,Nevada,32,23,1,6,138,Chicago,Chicago,A,623,699,54.0,52.0,105.0,84.0,77.424242424242422,69.551724137931032,11.444279510610883,8.5685318699680835,71,59
G,R1Z7,Z07,Z10,07,10,Xavier,Hawaii,25,27,5,5,137,West,West,A,853,613,55.0,53.0,108.0,90.0,72.733333333333334,72.15625,11.322347616795534,11.258633839747166,70,58
O,R3Z2,R2Z2,R2Z3,02,06,Kansas St,Xavier,25,24,7,8,143,West,West,A,637,853,63.0,56.0,95.0,108.0,79.46875,80.03125,8.8104496728316875,11.875616760299231,101,96
I,R1Y4,Y04,Y13,04,13,Wake Forest,VA Commonwealth,19,23,9,7,136,EastRutherford,EastRutherford,A,839,825,66.0,49.0,119.0,105.0,83.821428571428569,70.799999999999997,11.272766080338972,14.443914520193845,79,78
M,R2Y2,R1Y2,R1Y7,02,07,Texas,Miami FL,27,21,6,10,139,South,South,A,793,668,58.0,49.0,102.0,96.0,74.848484848484844,73.806451612903231,11.271097959802646,11.732005726928833,75,72
B,R1Y1,Y01,Y16,01,16,Minnesota,Texas St,26,15,3,12,137,Midwest,Midwest,A,673,795,55.0,49.0,114.0,100.0,77.379310344827587,71.407407407407405,13.993628582454448,11.792211049104056,78,46
F,R4Z1,R3Z1,R3Z2,01,11,Michigan St,Temple,24,21,4,12,146,South,South,A,671,789,46.0,51.0,103.0,92.0,78.428571428571431,69.818181818181813,15.367936406289395,10.276346908562592,69,62
M,R4Y1,R3Y1,R3Y2,01,02,Memphis,Texas,33,27,1,6,146,South,South,A,666,793,56.0,58.0,104.0,102.0,79.67647058823529,74.848484848484844,12.18176213524641,11.271097959802646,85,67
Q,R2W4,R1W4,R1W5,04,05,Wisconsin,Vanderbilt,24,24,9,10,138,East,East,A,849,827,41.0,55.0,85.0,102.0,63.878787878787875,72.911764705882348,9.6726968937018203,11.753266497293481,60,57
E,R3Y1,R2Y1,R2Y4,01,05,Duke,Florida,27,24,4,7,144,East,East,B,577,592,66.0,60.0,109.0,131.0,89.129032258064512,84.806451612903231,11.137677801292828,14.085955839952005,78,87
M,R1Y2,Y02,Y15,02,15,Texas,Austin Peay,27,24,6,10,137,South,South,A,793,519,58.0,47.0,102.0,116.0,74.848484848484844,74.588235294117652,11.271097959802646,12.702750158595402,74,54
J,R2X4,R1X4,R1X5,04,12,Boston College,WI Milwaukee,24,22,4,5,138,Chicago,Chicago,B,527,845,50.0,37.0,88.0,117.0,71.928571428571431,73.888888888888886,8.53534069714423,15.338968368742533,75,83
P,R1W6,W06,W11,06,11,Xavier,Marquette,24,20,7,14,137,East,East,B,853,660,46.0,56.0,100.0,102.0,72.612903225806448,76.088235294117652,12.481411777454371,11.228555108605454,55,66
Q,R1Y7,Y07,Y10,07,10,Notre Dame,Xavier,22,21,11,12,137,South,South,B,717,853,41.0,42.0,106.0,87.0,66.484848484848484,70.787878787878782,13.89379894843262,9.4476470559816388,63,67
H,R1W6,W06,W11,06,11,Oklahoma St,Penn,20,22,9,5,137,East,East,A,722,728,48.0,47.0,93.0,99.0,68.724137931034477,70.18518518518519,11.572549421752585,11.524650029351859,77,63
G,R1W4,W04,W13,04,13,Kentucky,Valparaiso,19,24,9,7,136,East,East,A,640,826,51.0,62.0,101.0,100.0,75.142857142857139,77.354838709677423,13.160314492861499,8.1894833705925105,83,68
I,R1W7,W07,W10,07,10,Xavier,Louisville,23,20,10,9,137,Atlanta,Atlanta,A,853,651,44.0,46.0,93.0,107.0,70.424242424242422,73.275862068965523,10.444747274979907,13.32846720556946,80,70
O,R1Z6,Z06,Z11,06,11,Xavier,Minnesota,24,21,8,13,137,West,West,A,853,673,56.0,53.0,108.0,97.0,80.03125,72.911764705882348,11.875616760299231,12.389197493496987,65,54
Q,R4W1,R3W1,R3W2,01,02,Syracuse,Ohio St,31,27,2,7,145,East,East,B,786,720,52.0,48.0,98.0,107.0,74.575757575757578,74.764705882352942,12.19296941741255,11.350197778866109,70,77
B,R1X6,X06,X11,06,11,Illinois,USC,21,17,9,10,137,Southeast,Southeast,A,623,818,45.0,59.0,96.0,107.0,76.5,79.703703703703709,12.333558556502121,11.66131564528099,90,77
L,R1Z4,Z04,Z13,04,13,S Illinois,Holy Cross,26,25,6,8,137,West,West,A,749,616,46.0,45.0,76.0,84.0,63.28125,64.242424242424249,8.7722373678269783,9.6610128806779052,61,51
C,R1X7,X07,X10,07,10,Temple,West Virginia,21,20,8,8,136,West,West,B,789,843,50.0,55.0,80.0,101.0,66.137931034482762,78.678571428571431,7.514235400253054,11.28543173244848,52,82
L,R1Z2,Z02,Z15,02,15,UCLA,Weber St,25,17,5,11,136,West,West,A,810,842,51.0,48.0,96.0,93.0,71.966666666666669,71.035714285714292,11.10700479677377,12.125775800974974,70,42
R,R1Z5,Z05,Z12,05,12,Wisconsin,Mississippi,23,26,11,8,137,West,West,B,849,674,43.0,62.0,88.0,95.0,65.529411764705884,77.882352941176464,13.247053599413867,11.023410131817469,46,57
M,R1W3,W03,W14,03,14,Louisville,Boise St,24,24,8,8,137,East,East,A,651,526,47.0,69.0,104.0,107.0,71.9375,81.21875,12.214073593605043,8.8626123935045253,79,61
R,R1Z1,Z01,Z16,01,16,Gonzaga,Southern Univ,30,20,2,9,136,West,West,A,607,773,57.0,45.0,103.0,88.0,76.8125,66.58620689655173,10.100858564993374,12.093079358500338,64,58
A,R1W7,W07,W10,07,10,New Mexico,Kansas St,26,16,4,11,137,East,East,A,701,637,58.0,54.0,107.0,106.0,78.5,68.851851851851848,12.776932339180638,11.174387724394084,69,48
