season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore
A,R1X7,X07,X10,07,10,Michigan,Texas,20,20,11,9,137,Midwest,Midwest,B,670,793,46.0,58.0,88.0,110.0,71.193548387096769,82.517241379310349,10.510883314646316,12.127542576372841
A,R1X8,X08,X09,08,09,WI Green Bay,Virginia Tech,24,22,3,5,136,Midwest,Midwest,B,844,831,44.0,41.0,90.0,99.0,65.555555555555557,70.925925925925924,10.891156226526975,12.430327089424019
A,R1Y1,Y01,Y16,01,16,Connecticut,Colgate,30,15,2,14,136,Southeast,Southeast,A,559,555,63.0,51.0,116.0,101.0,83.5,72.58620689655173,11.070794912742265,13.139876767855746
A,R1Y2,Y02,Y15,02,15,Cincinnati,UNC Greensboro,25,20,4,9,137,Southeast,Southeast,A,549,815,62.0,47.0,103.0,90.0,80.448275862068968,71.310344827586206,11.306349168060706,11.307926570745398
A,R1Y3,Y03,Y14,03,14,Georgia Tech,Austin Peay,22,17,11,10,137,Southeast,Southeast,A,606,519,60.0,58.0,98.0,102.0,79.545454545454547,77.777777777777771,9.7143783128674599,10.798948279838054
A,R1Y4,Y04,Y13,04,13,UCLA,Princeton,23,20,7,6,136,Southeast,Southeast,B,810,736,61.0,35.0,109.0,88.0,78.599999999999994,59.807692307692307,11.050188535344844,10.644678088022818
A,R1Y5,Y05,Y12,05,12,Mississippi St,VA Commonwealth,22,24,7,8,136,Southeast,Southeast,A,675,825,53.0,46.0,123.0,94.0,74.517241379310349,74.59375,15.471042337564125,9.7238732477084451
A,R1Y6,Y06,Y11,06,11,Indiana,Boston College,18,18,11,10,137,Southeast,Southeast,B,625,527,50.0,55.0,103.0,116.0,76.34482758620689,78.321428571428569,12.225682019108072,14.74316687105437
A,R1Y7,Y07,Y10,07,10,Temple,Oklahoma,19,17,12,12,137,Southeast,Southeast,A,789,721,35.0,58.0,77.0,119.0,59.838709677419352,80.275862068965523,9.4871620359493161,16.094326590285416
A,R1Y8,Y08,Y09,08,09,Duke,E Michigan,18,22,12,5,136,Southeast,Southeast,B,577,581,48.0,62.0,107.0,109.0,75.86666666666666,83.111111111111114,11.718172022783907,10.407736913196883
A,R1Z1,Z01,Z16,01,16,Purdue,W Carolina,25,15,5,11,136,West,West,A,738,833,50.0,51.0,88.0,125.0,73.200000000000003,82.307692307692307,9.2318289989940059,13.52424953347826
A,R1Z2,Z02,Z15,02,15,Kansas,S Carolina St,25,19,4,7,137,West,West,A,636,747,55.0,51.0,108.0,99.0,80.34482758620689,72.34615384615384,11.806707217302421,11.615448293253879
A,R1Z3,Z03,Z14,03,14,Arizona,Valparaiso,24,19,6,10,137,West,West,A,511,826,66.0,53.0,108.0,118.0,81.200000000000003,79.34482758620689,9.7036075765665633,14.057212805774309
A,R1Z4,Z04,Z13,04,13,Syracuse,Montana St,24,19,8,8,136,West,West,A,786,681,47.0,58.0,97.0,121.0,76.65625,81.18518518518519,9.9234865817161264,12.884205194121403
A,R1Z5,Z05,Z12,05,12,Memphis,Drexel,22,25,7,3,136,West,West,B,666,576,55.0,67.0,96.0,110.0,73.862068965517238,83.75,13.609641962229254,9.8945331226028905
A,R1Z6,Z06,Z11,06,11,Iowa,G Washington,22,21,8,7,137,West,West,A,628,599,56.0,64.0,110.0,98.0,79.799999999999997,78.0,14.187788176221597,8.1635076494639929
A,R1Z7,Z07,Z10,07,10,Maryland,Santa Clara,17,19,12,8,137,West,West,B,662,758,47.0,49.0,118.0,98.0,81.41379310344827,70.81481481481481,14.055351763601404,11.274478018752623
A,R1Z8,Z08,Z09,08,09,Georgia,Clemson,19,18,9,10,136,West,West,A,604,551,62.0,48.0,103.0,91.0,79.214285714285708,67.75,10.143108648793252,12.228844706559277
A,R2W1,R1W1,R1W8,01,09,Massachusetts,Stanford,31,19,1,8,138,East,East,A,663,783,50.0,56.0,94.0,99.0,73.6875,75.592592592592595,9.573523058414807,11.583063175935928
A,R2W2,R1W2,R1W7,02,07,Georgetown,New Mexico,24,26,7,4,139,East,East,A,603,701,56.0,58.0,113.0,107.0,81.838709677419359,78.5,13.137232914797861,12.776932339180638
A,R2W3,R1W3,R1W6,03,06,Texas Tech,North Carolina,28,20,1,10,139,East,East,A,796,708,62.0,53.0,101.0,99.0,81.827586206896555,77.599999999999994,9.878813852842864,11.568923891183655
A,R2W4,R1W4,R1W5,04,12,Marquette,Arkansas,22,18,7,12,138,East,East,B,660,515,46.0,59.0,103.0,116.0,73.620689655172413,78.200000000000003,12.914610259123791,12.962510044997716
A,R2X1,R1X1,R1X8,01,09,Kentucky,Virginia Tech,28,22,2,5,138,Midwest,Midwest,A,640,831,61.0,41.0,129.0,99.0,91.900000000000006,70.925925925925924,15.159925241680227,12.430327089424019
A,R2X2,R1X2,R1X7,02,10,Wake Forest,Texas,23,20,5,9,139,Midwest,Midwest,A,839,793,41.0,58.0,91.0,110.0,69.785714285714292,82.517241379310349,11.687469305863873,12.127542576372841
A,R2X3,R1X3,R1X6,03,06,Villanova,Louisville,25,19,6,11,139,Midwest,Midwest,B,829,651,56.0,54.0,94.0,119.0,75.354838709677423,76.766666666666666,8.8081647866890691,13.96348412427532
A,R2X4,R1X4,R1X5,04,05,Utah,Iowa St,23,22,6,8,138,Midwest,Midwest,A,821,629,56.0,46.0,108.0,87.0,76.41379310344827,66.86666666666666,11.439547981723724,10.42347777322372
A,R2Y1,R1Y1,R1Y8,01,09,Connecticut,E Michigan,30,22,2,5,138,Southeast,Southeast,A,559,581,63.0,62.0,116.0,109.0,83.5,83.111111111111114,11.070794912742265,10.407736913196883
A,R2Y2,R1Y2,R1Y7,02,07,Cincinnati,Temple,25,19,4,12,139,Southeast,Southeast,A,549,789,62.0,35.0,103.0,77.0,80.448275862068968,59.838709677419352,11.306349168060706,9.4871620359493161
A,R2Y3,R1Y3,R1Y6,03,11,Georgia Tech,Boston College,22,18,11,10,139,Southeast,Southeast,A,606,527,60.0,55.0,98.0,116.0,79.545454545454547,78.321428571428569,9.7143783128674599,14.74316687105437
A,R2Y4,R1Y4,R1Y5,13,05,Princeton,Mississippi St,20,22,6,7,138,Southeast,Southeast,B,736,675,35.0,53.0,88.0,123.0,59.807692307692307,74.517241379310349,10.644678088022818,15.471042337564125
A,R2Z1,R1Z1,R1Z8,01,08,Purdue,Georgia,25,19,5,9,138,West,West,B,738,604,50.0,62.0,88.0,103.0,73.200000000000003,79.214285714285708,9.2318289989940059,10.143108648793252
A,R2Z2,R1Z2,R1Z7,02,10,Kansas,Santa Clara,25,19,4,8,139,West,West,A,636,758,55.0,49.0,108.0,98.0,80.34482758620689,70.81481481481481,11.806707217302421,11.274478018752623
A,R2Z3,R1Z3,R1Z6,03,06,Arizona,Iowa,24,22,6,8,139,West,West,A,511,628,66.0,56.0,108.0,110.0,81.200000000000003,79.799999999999997,9.7036075765665633,14.187788176221597
A,R2Z4,R1Z4,R1Z5,04,12,Syracuse,Drexel,24,25,8,3,138,West,West,A,786,576,47.0,67.0,97.0,110.0,76.65625,83.75,9.9234865817161264,9.8945331226028905
A,R3W1,R2W1,R2W4,01,12,Massachusetts,Arkansas,31,18,1,12,143,East,East,A,663,515,50.0,59.0,94.0,116.0,73.6875,78.200000000000003,9.573523058414807,12.962510044997716
A,R3W2,R2W2,R2W3,02,03,Georgetown,Texas Tech,24,28,7,1,143,East,East,A,603,796,56.0,62.0,113.0,101.0,81.838709677419359,81.827586206896555,13.137232914797861,9.878813852842864
A,R3X1,R2X1,R2X4,01,04,Kentucky,Utah,28,23,2,6,143,Midwest,Midwest,A,640,821,61.0,56.0,129.0,108.0,91.900000000000006,76.41379310344827,15.159925241680227,11.439547981723724
A,R3X2,R2X2,R2X3,02,06,Wake Forest,Louisville,23,19,5,11,143,Midwest,Midwest,A,839,651,41.0,54.0,91.0,119.0,69.785714285714292,76.766666666666666,11.687469305863873,13.96348412427532
A,R3Y1,R2Y1,R2Y4,01,05,Connecticut,Mississippi St,30,22,2,7,144,Southeast,Southeast,B,559,675,63.0,53.0,116.0,123.0,83.5,74.517241379310349,11.070794912742265,15.471042337564125
A,R3Y2,R2Y2,R2Y3,02,03,Cincinnati,Georgia Tech,25,22,4,11,144,Southeast,Southeast,A,549,606,62.0,60.0,103.0,98.0,80.448275862068968,79.545454545454547,11.306349168060706,9.7143783128674599
A,R3Z1,R2Z1,R2Z4,08,04,Georgia,Syracuse,19,24,9,8,144,West,West,B,604,786,62.0,47.0,103.0,97.0,79.214285714285708,76.65625,10.143108648793252,9.9234865817161264
A,R3Z2,R2Z2,R2Z3,02,03,Kansas,Arizona,25,24,4,6,144,West,West,A,636,511,55.0,66.0,108.0,108.0,80.34482758620689,81.200000000000003,11.806707217302421,9.7036075765665633
A,R4W1,R3W1,R3W2,01,02,Massachusetts,Georgetown,31,24,1,7,145,East,East,A,663,603,50.0,56.0,94.0,113.0,73.6875,81.838709677419359,9.573523058414807,13.137232914797861
A,R4X1,R3X1,R3X2,01,02,Kentucky,Wake Forest,28,23,2,5,145,Midwest,Midwest,A,640,839,61.0,41.0,129.0,91.0,91.900000000000006,69.785714285714292,15.159925241680227,11.687469305863873
A,R4Y1,R3Y1,R3Y2,05,02,Mississippi St,Cincinnati,22,25,7,4,146,Southeast,Southeast,A,675,549,53.0,62.0,123.0,103.0,74.517241379310349,80.448275862068968,15.471042337564125,11.306349168060706
A,R4Z1,R3Z1,R3Z2,04,02,Syracuse,Kansas,24,25,8,4,146,West,West,A,786,636,47.0,55.0,97.0,108.0,76.65625,80.34482758620689,9.9234865817161264,11.806707217302421
A,R5WX,R4W1,R4X1,01,01,Massachusetts,Kentucky,31,28,1,2,152,East,Midwest,B,663,640,50.0,61.0,94.0,129.0,73.6875,91.900000000000006,9.573523058414807,15.159925241680227
A,R5YZ,R4Y1,R4Z1,05,04,Mississippi St,Syracuse,22,24,7,8,152,Southeast,West,B,675,786,53.0,47.0,123.0,97.0,74.517241379310349,76.65625,15.471042337564125,9.9234865817161264
A,R6CH,R5WX,R5YZ,01,04,Kentucky,Syracuse,28,24,2,8,154,Midwest,West,A,640,786,61.0,47.0,129.0,97.0,91.900000000000006,76.65625,15.159925241680227,9.9234865817161264
B,R1W1,W01,W16,01,16,North Carolina,Fairfield,24,11,6,18,136,East,East,A,708,589,45.0,45.0,106.0,86.0,77.86666666666666,66.103448275862064,14.34975803125459,11.439028255045898
B,R1W2,W02,W15,02,15,South Carolina,Coppin St,23,21,7,8,137,East,East,B,769,560,39.0,55.0,100.0,96.0,74.733333333333334,79.103448275862064,10.911563692808754,10.093852098102047
B,R1W3,W03,W14,03,14,New Mexico,Old Dominion,23,22,7,10,137,East,East,A,701,723,57.0,52.0,103.0,99.0,75.766666666666666,71.5,12.968380349484237,11.360567767501763
B,R1W4,W04,W13,04,13,Villanova,Long Island,22,21,9,8,136,East,East,A,829,648,56.0,68.0,91.0,129.0,74.677419354838705,91.551724137931032,10.177099836505784,14.632477356178361
B,R1W5,W05,W12,05,12,California,Princeton,21,23,8,3,136,East,East,A,539,736,56.0,44.0,97.0,86.0,76.379310344827587,64.269230769230774,9.6612050119535517,10.555923208933429
B,R1W6,W06,W11,06,11,Louisville,Massachusetts,23,18,8,13,137,East,East,A,651,663,44.0,47.0,102.0,90.0,75.806451612903231,66.967741935483872,14.033184989778198,11.712920549733552
B,R1W7,W07,W10,07,10,Wisconsin,Texas,18,16,9,11,137,East,East,B,849,793,42.0,57.0,77.0,104.0,59.111111111111114,76.81481481481481,9.3386228397558639,11.323646307901317
B,R1W8,W08,W09,08,09,Indiana,Colorado,22,21,10,9,136,East,East,B,625,556,53.0,41.0,93.0,87.0,72.96875,73.466666666666669,9.8694109974962529,10.480882066357244
B,R1X1,X01,X16,01,16,Kansas,Jackson St,31,13,1,15,136,Southeast,Southeast,A,636,632,62.0,45.0,134.0,92.0,85.40625,71.321428571428569,14.424067073384677,11.535824855728386
B,R1X2,X02,X15,02,15,Duke,Murray St,23,17,8,9,137,Southeast,Southeast,A,577,687,60.0,54.0,104.0,107.0,79.709677419354833,77.384615384615387,12.163386488296904,12.474826723251427
B,R1X3,X03,X14,03,14,Georgia,Chattanooga,24,18,8,10,137,Southeast,Southeast,B,604,547,53.0,49.0,91.0,92.0,72.0625,73.892857142857139,10.377070576516283,9.2131090057059666
B,R1X4,X04,X13,04,13,Arizona,South Alabama,19,21,9,6,136,Southeast,Southeast,A,511,768,62.0,36.0,118.0,92.0,85.107142857142861,65.148148148148152,13.294304058812678,13.40177905189568
B,R1X5,X05,X12,05,12,Maryland,Col Charleston,21,25,10,2,136,Southeast,Southeast,B,662,554,54.0,49.0,108.0,97.0,75.483870967741936,80.296296296296291,12.294428236431736,10.543788112631074
B,R1X6,X06,X11,06,11,Illinois,USC,21,17,9,10,137,Southeast,Southeast,A,623,818,45.0,59.0,96.0,107.0,76.5,79.703703703703709,12.333558556502121,11.66131564528099
B,R1X7,X07,X10,07,10,Marquette,Providence,22,20,8,11,137,Southeast,Southeast,B,660,737,46.0,56.0,104.0,100.0,68.333333333333329,74.677419354838705,12.464170873169042,9.5356279180703911
B,R1X8,X08,X09,08,09,Purdue,Rhode Island,17,20,11,9,136,Southeast,Southeast,A,738,741,52.0,56.0,94.0,115.0,72.071428571428569,80.827586206896555,10.215284666436199,13.434564185832679
B,R1Y1,Y01,Y16,01,16,Minnesota,Texas St,26,15,3,12,137,Midwest,Midwest,A,673,795,55.0,49.0,114.0,100.0,77.379310344827587,71.407407407407405,13.993628582454448,11.792211049104056
B,R1Y2,Y02,Y15,02,15,UCLA,Charleston So,21,15,7,12,136,Midwest,Midwest,A,810,545,61.0,53.0,96.0,85.0,78.821428571428569,70.740740740740748,10.014466576724219,8.0304632613594524
B,R1Y3,Y03,Y14,03,14,Cincinnati,Butler,25,21,7,9,136,Midwest,Midwest,A,549,535,55.0,48.0,105.0,89.0,80.96875,68.666666666666671,13.21572069307989,11.121550651275607
B,R1Y4,Y04,Y13,04,13,Clemson,Miami OH,21,21,9,8,137,Midwest,Midwest,A,551,669,47.0,56.0,89.0,96.0,67.733333333333334,73.965517241379317,11.316458024586236,10.548681102788322
B,R1Y5,Y05,Y12,05,12,Tulsa,Boston Univ,23,25,9,4,137,Midwest,Midwest,A,802,528,51.0,42.0,128.0,85.0,72.59375,67.862068965517238,14.736984458752069,8.7285664104393828
B,R1Y6,Y06,Y11,06,11,Iowa St,Illinois St,20,24,8,5,136,Midwest,Midwest,A,629,624,45.0,54.0,87.0,101.0,67.285714285714292,74.793103448275858,10.643096833350791,9.8203845361357569
B,R1Y7,Y07,Y10,07,10,Xavier,Vanderbilt,22,18,5,11,136,Midwest,Midwest,A,853,827,62.0,46.0,113.0,92.0,83.333333333333329,69.931034482758619,12.174654911833116,12.362153128170197
B,R1Y8,Y08,Y09,08,09,Mississippi,Temple,20,19,8,10,137,Midwest,Midwest,B,674,789,46.0,45.0,93.0,83.0,70.035714285714292,66.758620689655174,11.066300655778408,7.854957461259267
B,R1Z1,Z01,Z16,01,16,Kentucky,Montana,29,19,4,10,136,West,West,A,640,680,58.0,60.0,105.0,95.0,83.090909090909093,73.551724137931032,10.419572597422011,8.0754468517187714
B,R1Z2,Z02,Z15,02,15,Utah,Navy,25,18,3,8,137,West,West,A,821,692,56.0,52.0,94.0,109.0,74.285714285714292,72.07692307692308,10.137825713834385,12.222057855568025
B,R1Z3,Z03,Z14,03,14,Wake Forest,St Mary's CA,23,21,6,7,137,West,West,A,839,781,51.0,56.0,92.0,94.0,69.103448275862064,70.892857142857139,10.525321938187785,10.143045772893879
B,R1Z4,Z04,Z13,04,13,St Joseph's PA,Pacific,24,22,6,5,136,West,West,A,779,727,55.0,54.0,89.0,96.0,70.900000000000006,71.851851851851848,8.4591173692452504,10.344809769311244
B,R1Z5,Z05,Z12,05,12,Boston College,Valparaiso,21,22,8,6,136,West,West,A,527,826,54.0,50.0,94.0,102.0,74.310344827586206,74.571428571428569,10.014139824908483,12.759950099064348
B,R1Z6,Z06,Z11,06,11,Stanford,Oklahoma,18,19,7,10,137,West,West,A,783,721,61.0,47.0,109.0,95.0,80.079999999999998,74.517241379310349,9.6909029507058833,11.62820794345452
B,R1Z7,Z07,Z10,07,10,Charlotte,Georgetown,21,19,8,9,137,West,West,A,546,603,52.0,52.0,102.0,92.0,71.724137931034477,68.785714285714292,12.014062311406345,9.3249172453514593
B,R1Z8,Z08,Z09,08,09,Iowa,Virginia,20,18,9,12,136,West,West,A,628,830,48.0,52.0,93.0,106.0,72.58620689655173,67.966666666666669,11.740050053877056,13.026852608703644
B,R2W1,R1W1,R1W8,01,09,North Carolina,Colorado,24,21,6,9,138,East,East,A,708,556,45.0,41.0,106.0,87.0,77.86666666666666,73.466666666666669,14.34975803125459,10.480882066357244
B,R2W2,R1W2,R1W7,15,10,Coppin St,Texas,21,16,8,11,139,East,East,B,560,793,55.0,57.0,96.0,104.0,79.103448275862064,76.81481481481481,10.093852098102047,11.323646307901317
B,R2W3,R1W3,R1W6,03,06,New Mexico,Louisville,23,23,7,8,139,East,East,B,701,651,57.0,44.0,103.0,102.0,75.766666666666666,75.806451612903231,12.968380349484237,14.033184989778198
B,R2W4,R1W4,R1W5,04,05,Villanova,California,22,21,9,8,138,East,East,B,829,539,56.0,56.0,91.0,97.0,74.677419354838705,76.379310344827587,10.177099836505784,9.6612050119535517
B,R2X1,R1X1,R1X8,01,08,Kansas,Purdue,31,17,1,11,138,Southeast,Southeast,A,636,738,62.0,52.0,134.0,94.0,85.40625,72.071428571428569,14.424067073384677,10.215284666436199
B,R2X2,R1X2,R1X7,02,10,Duke,Providence,23,20,8,11,139,Southeast,Southeast,B,577,737,60.0,56.0,104.0,100.0,79.709677419354833,74.677419354838705,12.163386488296904,9.5356279180703911
B,R2X3,R1X3,R1X6,14,06,Chattanooga,Illinois,18,21,10,9,139,Southeast,Southeast,A,547,623,49.0,45.0,92.0,96.0,73.892857142857139,76.5,9.2131090057059666,12.333558556502121
B,R2X4,R1X4,R1X5,04,12,Arizona,Col Charleston,19,25,9,2,138,Southeast,Southeast,A,511,554,62.0,49.0,118.0,97.0,85.107142857142861,80.296296296296291,13.294304058812678,10.543788112631074
B,R2Y1,R1Y1,R1Y8,01,09,Minnesota,Temple,26,19,3,10,139,Midwest,Midwest,A,673,789,55.0,45.0,114.0,83.0,77.379310344827587,66.758620689655174,13.993628582454448,7.854957461259267
B,R2Y2,R1Y2,R1Y7,02,07,UCLA,Xavier,21,22,7,5,138,Midwest,Midwest,A,810,853,61.0,62.0,96.0,113.0,78.821428571428569,83.333333333333329,10.014466576724219,12.174654911833116
B,R2Y3,R1Y3,R1Y6,03,06,Cincinnati,Iowa St,25,20,7,8,138,Midwest,Midwest,B,549,629,55.0,45.0,105.0,87.0,80.96875,67.285714285714292,13.21572069307989,10.643096833350791
B,R2Y4,R1Y4,R1Y5,04,05,Clemson,Tulsa,21,23,9,9,139,Midwest,Midwest,A,551,802,47.0,51.0,89.0,128.0,67.733333333333334,72.59375,11.316458024586236,14.736984458752069
B,R2Z1,R1Z1,R1Z8,01,08,Kentucky,Iowa,29,20,4,9,138,West,West,A,640,628,58.0,48.0,105.0,93.0,83.090909090909093,72.58620689655173,10.419572597422011,11.740050053877056
B,R2Z2,R1Z2,R1Z7,02,07,Utah,Charlotte,25,21,3,8,139,West,West,A,821,546,56.0,52.0,94.0,102.0,74.285714285714292,71.724137931034477,10.137825713834385,12.014062311406345
B,R2Z3,R1Z3,R1Z6,03,06,Wake Forest,Stanford,23,18,6,7,139,West,West,B,839,783,51.0,61.0,92.0,109.0,69.103448275862064,80.079999999999998,10.525321938187785,9.6909029507058833
B,R2Z4,R1Z4,R1Z5,04,05,St Joseph's PA,Boston College,24,21,6,8,138,West,West,A,779,527,55.0,54.0,89.0,94.0,70.900000000000006,74.310344827586206,8.4591173692452504,10.014139824908483
B,R3W1,R2W1,R2W4,01,05,North Carolina,California,24,21,6,8,144,East,East,A,708,539,45.0,56.0,106.0,97.0,77.86666666666666,76.379310344827587,14.34975803125459,9.6612050119535517
B,R3W2,R2W2,R2W3,10,06,Texas,Louisville,16,23,11,8,144,East,East,B,793,651,57.0,44.0,104.0,102.0,76.81481481481481,75.806451612903231,11.323646307901317,14.033184989778198
B,R3X1,R2X1,R2X4,01,04,Kansas,Arizona,31,19,1,9,144,Southeast,Southeast,B,636,511,62.0,62.0,134.0,118.0,85.40625,85.107142857142861,14.424067073384677,13.294304058812678
B,R3X2,R2X2,R2X3,10,14,Providence,Chattanooga,20,18,11,10,144,Southeast,Southeast,A,737,547,56.0,49.0,100.0,92.0,74.677419354838705,73.892857142857139,9.5356279180703911,9.2131090057059666
B,R3Y1,R2Y1,R2Y4,01,04,Minnesota,Clemson,26,21,3,9,143,Midwest,Midwest,A,673,551,55.0,47.0,114.0,89.0,77.379310344827587,67.733333333333334,13.993628582454448,11.316458024586236
B,R3Y2,R2Y2,R2Y3,02,06,UCLA,Iowa St,21,20,7,8,143,Midwest,Midwest,A,810,629,61.0,45.0,96.0,87.0,78.821428571428569,67.285714285714292,10.014466576724219,10.643096833350791
B,R3Z1,R2Z1,R2Z4,01,04,Kentucky,St Joseph's PA,29,24,4,6,143,West,West,A,640,779,58.0,55.0,105.0,89.0,83.090909090909093,70.900000000000006,10.419572597422011,8.4591173692452504
B,R3Z2,R2Z2,R2Z3,02,06,Utah,Stanford,25,18,3,7,143,West,West,A,821,783,56.0,61.0,94.0,109.0,74.285714285714292,80.079999999999998,10.137825713834385,9.6909029507058833
B,R4W1,R3W1,R3W2,01,06,North Carolina,Louisville,24,23,6,8,146,East,East,A,708,651,45.0,44.0,106.0,102.0,77.86666666666666,75.806451612903231,14.34975803125459,14.033184989778198
B,R4X1,R3X1,R3X2,04,10,Arizona,Providence,19,20,9,11,146,Southeast,Southeast,A,511,737,62.0,56.0,118.0,100.0,85.107142857142861,74.677419354838705,13.294304058812678,9.5356279180703911
B,R4Y1,R3Y1,R3Y2,01,02,Minnesota,UCLA,26,21,3,7,145,Midwest,Midwest,A,673,810,55.0,61.0,114.0,96.0,77.379310344827587,78.821428571428569,13.993628582454448,10.014466576724219
B,R4Z1,R3Z1,R3Z2,01,02,Kentucky,Utah,29,25,4,3,145,West,West,A,640,821,58.0,56.0,105.0,94.0,83.090909090909093,74.285714285714292,10.419572597422011,10.137825713834385
B,R5WX,R4W1,R4X1,01,04,North Carolina,Arizona,24,19,6,9,152,East,Southeast,B,708,511,45.0,62.0,106.0,118.0,77.86666666666666,85.107142857142861,14.34975803125459,13.294304058812678
B,R5YZ,R4Y1,R4Z1,01,01,Minnesota,Kentucky,26,29,3,4,152,Midwest,West,B,673,640,55.0,58.0,114.0,105.0,77.379310344827587,83.090909090909093,13.993628582454448,10.419572597422011
B,R6CH,R5WX,R5YZ,04,01,Arizona,Kentucky,19,29,9,4,154,Southeast,West,A,511,640,62.0,58.0,118.0,105.0,85.107142857142861,83.090909090909093,13.294304058812678,10.419572597422011
C,R1W1,W01,W16,01,16,North Carolina,Navy,30,17,3,10,136,East,East,A,708,692,50.0,43.0,109.0,93.0,82.575757575757578,71.259259259259252,12.744649032889585,13.420803620561381
C,R1W2,W02,W15,02,15,Connecticut,F Dickinson,29,22,4,6,136,East,East,A,559,588,59.0,65.0,100.0,110.0,76.545454545454547,83.821428571428569,10.976810015971024,11.329650011706235
C,R1W3,W03,W14,03,14,South Carolina,Richmond,23,22,7,7,136,East,East,B,769,743,54.0,56.0,90.0,87.0,71.666666666666671,70.379310344827587,9.027119634129642,9.2788740142676591
C,R1W4,W04,W13,04,13,Michigan St,E Michigan,20,19,7,9,136,East,East,A,671,581,54.0,57.0,96.0,99.0,74.0,80.071428571428569,10.673608852020292,11.710583038518655
C,R1W5,W05,W12,05,12,Princeton,UNLV,25,19,1,12,136,East,East,A,736,817,38.0,50.0,86.0,96.0,67.07692307692308,69.612903225806448,11.228134569783165,11.51346314132997
C,R1W6,W06,W11,06,11,Xavier,Washington,22,18,7,9,136,East,East,B,853,840,62.0,52.0,118.0,101.0,84.068965517241381,79.074074074074076,12.193641741901612,11.54997491075013
C,R1W7,W07,W10,07,10,Indiana,Oklahoma,19,21,11,10,136,East,East,A,625,721,53.0,43.0,103.0,95.0,76.5,73.838709677419359,11.1257958516833,11.336770815740081
C,R1W8,W08,W09,08,09,Charlotte,IL Chicago,19,22,10,5,136,East,East,A,546,622,57.0,56.0,105.0,96.0,73.206896551724142,75.111111111111114,10.729846579051731,9.6276351210819868
