season,winslot,Aslot,Bslot,winner,teamA,teamB,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,Ascore,Bscore,daynum,Aregion,Bregion
B,R1X7,X07,X10,737,660,737,07,10,Marquette,Providence,22,20,8,11,59,81,137,Southeast,Southeast
B,R1X8,X08,X09,738,738,741,08,09,Purdue,Rhode Island,17,20,11,9,83,76,136,Southeast,Southeast
B,R1Y1,Y01,Y16,673,673,795,01,16,Minnesota,Texas St,26,15,3,12,78,46,137,Midwest,Midwest
B,R1Y2,Y02,Y15,810,810,545,02,15,UCLA,Charleston So,21,15,7,12,109,75,136,Midwest,Midwest
B,R1Y3,Y03,Y14,549,549,535,03,14,Cincinnati,Butler,25,21,7,9,86,69,136,Midwest,Midwest
B,R1Y4,Y04,Y13,551,551,669,04,13,Clemson,Miami OH,21,21,9,8,68,56,137,Midwest,Midwest
B,R1Y5,Y05,Y12,802,802,528,05,12,Tulsa,Boston Univ,23,25,9,4,81,52,137,Midwest,Midwest
B,R1Y6,Y06,Y11,629,629,624,06,11,Iowa St,Illinois St,20,24,8,5,69,57,136,Midwest,Midwest
B,R1Y7,Y07,Y10,853,853,827,07,10,Xavier,Vanderbilt,22,18,5,11,80,68,136,Midwest,Midwest
B,R1Y8,Y08,Y09,789,674,789,08,09,Mississippi,Temple,20,19,8,10,40,62,137,Midwest,Midwest
B,R1Z1,Z01,Z16,640,640,680,01,16,Kentucky,Montana,29,19,4,10,92,54,136,West,West
B,R1Z2,Z02,Z15,821,821,692,02,15,Utah,Navy,25,18,3,8,75,61,137,West,West
B,R1Z3,Z03,Z14,839,839,781,03,14,Wake Forest,St Marys CA,23,21,6,7,68,46,137,West,West
B,R1Z4,Z04,Z13,779,779,727,04,13,St Josephs PA,Pacific,24,22,6,5,75,65,136,West,West
B,R1Z5,Z05,Z12,527,527,826,05,12,Boston College,Valparaiso,21,22,8,6,73,66,136,West,West
B,R1Z6,Z06,Z11,783,783,721,06,11,Stanford,Oklahoma,18,19,7,10,80,67,137,West,West
B,R1Z7,Z07,Z10,546,546,603,07,10,Charlotte,Georgetown,21,19,8,9,79,67,137,West,West
B,R1Z8,Z08,Z09,628,628,830,08,09,Iowa,Virginia,20,18,9,12,73,60,136,West,West
B,R2W1,R1W1,R1W8,708,708,556,01,09,North Carolina,Colorado,24,21,6,9,73,56,138,East,East
B,R2W2,R1W2,R1W7,793,560,793,15,10,Coppin St,Texas,21,16,8,11,81,82,139,East,East
B,R2W3,R1W3,R1W6,651,701,651,03,06,New Mexico,Louisville,23,23,7,8,63,64,139,East,East
B,R2W4,R1W4,R1W5,539,829,539,04,05,Villanova,California,22,21,9,8,68,75,138,East,East
B,R2X1,R1X1,R1X8,636,636,738,01,08,Kansas,Purdue,31,17,1,11,75,61,138,Southeast,Southeast
B,R2X2,R1X2,R1X7,737,577,737,02,10,Duke,Providence,23,20,8,11,87,98,139,Southeast,Southeast
B,R2X3,R1X3,R1X6,547,547,623,14,06,Chattanooga,Illinois,18,21,10,9,75,63,139,Southeast,Southeast
B,R2X4,R1X4,R1X5,511,511,554,04,12,Arizona,Col Charleston,19,25,9,2,73,69,138,Southeast,Southeast
B,R2Y1,R1Y1,R1Y8,673,673,789,01,09,Minnesota,Temple,26,19,3,10,76,57,139,Midwest,Midwest
B,R2Y2,R1Y2,R1Y7,810,810,853,02,07,UCLA,Xavier,21,22,7,5,96,83,138,Midwest,Midwest
B,R2Y3,R1Y3,R1Y6,629,549,629,03,06,Cincinnati,Iowa St,25,20,7,8,66,67,138,Midwest,Midwest
B,R2Y4,R1Y4,R1Y5,551,551,802,04,05,Clemson,Tulsa,21,23,9,9,65,59,139,Midwest,Midwest
B,R2Z1,R1Z1,R1Z8,640,640,628,01,08,Kentucky,Iowa,29,20,4,9,75,69,138,West,West
B,R2Z2,R1Z2,R1Z7,821,821,546,02,07,Utah,Charlotte,25,21,3,8,77,58,139,West,West
B,R2Z3,R1Z3,R1Z6,783,839,783,03,06,Wake Forest,Stanford,23,18,6,7,66,72,139,West,West
B,R2Z4,R1Z4,R1Z5,779,779,527,04,05,St Josephs PA,Boston College,24,21,6,8,81,77,138,West,West
B,R3W1,R2W1,R2W4,708,708,539,01,05,North Carolina,California,24,21,6,8,63,57,144,East,East
B,R3W2,R2W2,R2W3,651,793,651,10,06,Texas,Louisville,16,23,11,8,63,78,144,East,East
B,R3X1,R2X1,R2X4,511,636,511,01,04,Kansas,Arizona,31,19,1,9,82,85,144,Southeast,Southeast
B,R3X2,R2X2,R2X3,737,737,547,10,14,Providence,Chattanooga,20,18,11,10,71,65,144,Southeast,Southeast
B,R3Y1,R2Y1,R2Y4,673,673,551,01,04,Minnesota,Clemson,26,21,3,9,90,84,143,Midwest,Midwest
B,R3Y2,R2Y2,R2Y3,810,810,629,02,06,UCLA,Iowa St,21,20,7,8,74,73,143,Midwest,Midwest
B,R3Z1,R2Z1,R2Z4,640,640,779,01,04,Kentucky,St Josephs PA,29,24,4,6,83,68,143,West,West
B,R3Z2,R2Z2,R2Z3,821,821,783,02,06,Utah,Stanford,25,18,3,7,82,77,143,West,West
B,R4W1,R3W1,R3W2,708,708,651,01,06,North Carolina,Louisville,24,23,6,8,97,74,146,East,East
B,R4X1,R3X1,R3X2,511,511,737,04,10,Arizona,Providence,19,20,9,11,96,92,146,Southeast,Southeast
B,R4Y1,R3Y1,R3Y2,673,673,810,01,02,Minnesota,UCLA,26,21,3,7,80,72,145,Midwest,Midwest
B,R4Z1,R3Z1,R3Z2,640,640,821,01,02,Kentucky,Utah,29,25,4,3,72,59,145,West,West
B,R5WX,R4W1,R4X1,511,708,511,01,04,North Carolina,Arizona,24,19,6,9,58,66,152,East,Southeast
B,R5YZ,R4Y1,R4Z1,640,673,640,01,01,Minnesota,Kentucky,26,29,3,4,69,78,152,Midwest,West
B,R6CH,R5WX,R5YZ,511,511,640,04,01,Arizona,Kentucky,19,29,9,4,84,79,154,Southeast,West
C,R1W1,W01,W16,708,708,692,01,16,North Carolina,Navy,30,17,3,10,88,52,136,East,East
C,R1W2,W02,W15,559,559,588,02,15,Connecticut,F Dickinson,29,22,4,6,93,85,136,East,East
C,R1W3,W03,W14,743,769,743,03,14,South Carolina,Richmond,23,22,7,7,61,62,136,East,East
C,R1W4,W04,W13,671,671,581,04,13,Michigan St,E Michigan,20,19,7,9,83,71,136,East,East
C,R1W5,W05,W12,736,736,817,05,12,Princeton,UNLV,25,19,1,12,69,57,136,East,East
C,R1W6,W06,W11,840,853,840,06,11,Xavier,Washington,22,18,7,9,68,69,136,East,East
C,R1W7,W07,W10,625,625,721,07,10,Indiana,Oklahoma,19,21,11,10,94,87,136,East,East
C,R1W8,W08,W09,546,546,622,08,09,Charlotte,IL Chicago,19,22,10,5,77,62,136,East,East
C,R1X1,X01,X16,511,511,705,01,16,Arizona,Nicholls St,27,18,4,9,99,60,136,West,West
C,R1X2,X02,X15,549,549,713,02,15,Cincinnati,Northern Arizona,26,19,5,7,65,62,136,West,West
C,R1X3,X03,X14,821,821,755,03,14,Utah,San Francisco,24,19,3,10,85,68,136,West,West
C,R1X4,X04,X13,662,662,822,04,13,Maryland,Utah St,19,22,10,7,82,68,136,West,West
C,R1X5,X05,X12,623,623,768,05,12,Illinois,South Alabama,22,21,9,6,64,51,136,West,West
C,R1X6,X06,X11,515,515,698,06,11,Arkansas,Nebraska,23,20,7,11,74,65,136,West,West
C,R1X7,X07,X10,843,789,843,07,10,Temple,West Virginia,21,20,8,8,52,82,136,West,West
C,R1X8,X08,X09,624,790,624,08,09,Tennessee,Illinois St,20,23,8,5,81,82,136,West,West
C,R1Y1,Y01,Y16,636,636,734,01,16,Kansas,Prairie View,33,10,3,16,110,52,137,Midwest,Midwest
C,R1Y2,Y02,Y15,738,738,570,02,15,Purdue,Delaware,26,18,7,9,95,56,137,Midwest,Midwest
C,R1Y3,Y03,Y14,783,783,554,03,14,Stanford,Col Charleston,25,22,4,5,67,57,137,Midwest,Midwest
C,R1Y4,Y04,Y13,826,674,826,04,13,Mississippi,Valparaiso,22,20,6,8,69,70,137,Midwest,Midwest
C,R1Y5,Y05,Y12,595,788,595,05,12,TCU,Florida St,26,17,5,13,87,96,137,Midwest,Midwest
C,R1Y6,Y06,Y11,836,551,836,06,11,Clemson,W Michigan,18,20,13,7,72,75,137,Midwest,Midwest
C,R1Y7,Y07,Y10,574,778,574,07,10,St Johns,Detroit,21,22,9,5,64,66,137,Midwest,Midwest
C,R1Y8,Y08,Y09,741,741,687,08,09,Rhode Island,Murray St,22,26,8,3,97,74,137,Midwest,Midwest
C,R1Z1,Z01,Z16,577,577,740,01,16,Duke,Radford,28,18,3,8,99,63,137,South,South
C,R1Z2,Z02,Z15,640,640,747,02,15,Kentucky,S Carolina St,29,22,4,6,82,67,137,South,South
C,R1Z3,Z03,Z14,670,670,568,03,14,Michigan,Davidson,23,18,8,9,80,61,137,South,South
C,R1Z4,Z04,Z13,701,701,535,04,13,New Mexico,Butler,23,20,7,10,79,62,137,South,South
C,R1Z5,Z05,Z12,786,786,627,05,12,Syracuse,Iona,24,26,8,5,63,61,137,South,South
C,R1Z6,Z06,Z11,810,810,668,06,11,UCLA,Miami FL,21,18,8,9,65,62,137,South,South
C,R1Z7,Z07,Z10,780,663,780,07,10,Massachusetts,St Louis,21,21,10,10,46,51,137,South,South
C,R1Z8,Z08,Z09,722,722,599,08,09,Oklahoma St,G Washington,21,24,6,8,74,59,137,South,South
C,R2W1,R1W1,R1W8,708,708,546,01,08,North Carolina,Charlotte,30,19,3,10,93,83,138,East,East
C,R2W2,R1W2,R1W7,559,559,625,02,07,Connecticut,Indiana,29,19,4,11,78,68,138,East,East
C,R2W3,R1W3,R1W6,840,743,840,14,11,Richmond,Washington,22,18,7,9,66,81,138,East,East
C,R2W4,R1W4,R1W5,671,671,736,04,05,Michigan St,Princeton,20,25,7,1,63,56,138,East,East
C,R2X1,R1X1,R1X8,511,511,624,01,09,Arizona,Illinois St,27,23,4,5,82,49,138,West,West
C,R2X2,R1X2,R1X7,843,549,843,02,10,Cincinnati,West Virginia,26,20,5,8,74,75,138,West,West
C,R2X3,R1X3,R1X6,821,821,515,03,06,Utah,Arkansas,24,23,3,7,75,69,138,West,West
C,R2X4,R1X4,R1X5,662,662,623,04,05,Maryland,Illinois,19,22,10,9,67,61,138,West,West
C,R2Y1,R1Y1,R1Y8,741,636,741,01,08,Kansas,Rhode Island,33,22,3,8,75,80,139,Midwest,Midwest
C,R2Y2,R1Y2,R1Y7,738,738,574,02,10,Purdue,Detroit,26,22,7,5,80,65,139,Midwest,Midwest
C,R2Y3,R1Y3,R1Y6,783,783,836,03,11,Stanford,W Michigan,25,20,4,7,83,65,139,Midwest,Midwest
C,R2Y4,R1Y4,R1Y5,826,826,595,13,12,Valparaiso,Florida St,20,17,8,13,83,77,139,Midwest,Midwest
C,R2Z1,R1Z1,R1Z8,577,577,722,01,08,Duke,Oklahoma St,28,21,3,6,79,73,139,South,South
C,R2Z2,R1Z2,R1Z7,640,640,780,02,10,Kentucky,St Louis,29,21,4,10,88,61,139,South,South
C,R2Z3,R1Z3,R1Z6,810,670,810,03,06,Michigan,UCLA,23,21,8,8,82,85,139,South,South
C,R2Z4,R1Z4,R1Z5,786,701,786,04,05,New Mexico,Syracuse,23,24,7,8,46,56,139,South,South
C,R3W1,R2W1,R2W4,708,708,671,01,04,North Carolina,Michigan St,30,20,3,7,73,58,143,East,East
C,R3W2,R2W2,R2W3,559,559,840,02,11,Connecticut,Washington,29,18,4,9,75,74,143,East,East
C,R3X1,R2X1,R2X4,511,511,662,01,04,Arizona,Maryland,27,19,4,10,87,79,143,West,West
C,R3X2,R2X2,R2X3,821,843,821,10,03,West Virginia,Utah,20,24,8,3,62,65,143,West,West
C,R3Y1,R2Y1,R2Y4,741,741,826,08,13,Rhode Island,Valparaiso,22,20,8,8,74,68,144,Midwest,Midwest
C,R3Y2,R2Y2,R2Y3,783,738,783,02,03,Purdue,Stanford,26,25,7,4,59,67,144,Midwest,Midwest
C,R3Z1,R2Z1,R2Z4,577,577,786,01,05,Duke,Syracuse,28,24,3,8,80,67,144,South,South
C,R3Z2,R2Z2,R2Z3,640,640,810,02,06,Kentucky,UCLA,29,21,4,8,94,68,144,South,South
C,R4W1,R3W1,R3W2,708,708,559,01,02,North Carolina,Connecticut,30,29,3,4,75,64,145,East,East
C,R4X1,R3X1,R3X2,821,511,821,01,03,Arizona,Utah,27,24,4,3,51,76,145,West,West
C,R4Y1,R3Y1,R3Y2,783,741,783,08,03,Rhode Island,Stanford,22,25,8,4,77,79,146,Midwest,Midwest
C,R4Z1,R3Z1,R3Z2,640,577,640,01,02,Duke,Kentucky,28,29,3,4,84,86,146,South,South
C,R5WX,R4W1,R4X1,821,708,821,01,03,North Carolina,Utah,30,24,3,3,59,65,152,East,West
C,R5YZ,R4Y1,R4Z1,640,783,640,03,02,Stanford,Kentucky,25,29,4,4,85,86,152,Midwest,South
C,R6CH,R5WX,R5YZ,640,821,640,03,02,Utah,Kentucky,24,29,3,4,69,78,154,West,South
D,R1W1,W01,W16,577,577,593,01,16,Duke,Florida A&M,32,12,1,18,99,58,137,East,East
D,R1W2,W02,W15,668,668,642,02,15,Miami FL,Lafayette,22,20,6,7,75,54,137,East,East
D,R1W3,W03,W14,549,549,602,03,14,Cincinnati,George Mason,26,18,5,10,72,48,137,East,East
D,R1W4,W04,W13,790,790,570,04,13,Tennessee,Delaware,20,25,8,5,62,52,137,East,East
D,R1W5,W05,W12,678,849,678,05,12,Wisconsin,Missouri St,22,20,9,10,32,43,137,East,East
D,R1W6,W06,W11,789,789,639,06,11,Temple,Kent,21,21,10,6,61,54,137,East,East
D,R1W7,W07,W10,738,793,738,07,10,Texas,Purdue,19,19,12,12,54,58,137,East,East
D,R1W8,W08,W09,802,554,802,08,09,Col Charleston,Tulsa,25,22,2,9,53,62,137,East,East
D,R1X1,X01,X16,671,671,686,01,16,Michigan St,Mt St Marys,29,15,4,14,76,53,137,Midwest,Midwest
D,R1X2,X02,X15,821,821,516,02,15,Utah,Arkansas St,25,18,4,11,80,58,137,Midwest,Midwest
D,R1X3,X03,X14,640,640,702,03,14,Kentucky,New Mexico St,25,21,8,8,82,60,137,Midwest,Midwest
D,R1X4,X04,X13,721,511,721,04,13,Arizona,Oklahoma,22,19,6,10,60,61,137,Midwest,Midwest
D,R1X5,X05,X12,546,546,741,05,12,Charlotte,Rhode Island,22,20,10,12,81,70,137,Midwest,Midwest
D,R1X6,X06,X11,636,636,587,06,11,Kansas,Evansville,21,21,9,9,95,74,137,Midwest,Midwest
D,R1X7,X07,X10,669,840,669,07,10,Washington,Miami OH,16,22,11,7,58,59,137,Midwest,Midwest
D,R1X8,X08,X09,674,829,674,08,09,Villanova,Mississippi,20,18,10,12,70,72,137,Midwest,Midwest
D,R1Y1,Y01,Y16,518,518,848,01,16,Auburn,Winthrop,27,19,3,7,80,41,136,South,South
D,R1Y2,Y02,Y15,662,662,826,02,15,Maryland,Valparaiso,25,21,5,8,82,60,136,South,South
D,R1Y3,Y03,Y14,778,778,752,03,14,St Johns,Samford,25,22,8,5,69,43,136,South,South
D,R1Y4,Y04,Y13,720,720,687,04,13,Ohio St,Murray St,23,26,8,5,72,58,136,South,South
D,R1Y5,Y05,Y12,574,810,574,05,12,UCLA,Detroit,22,23,8,5,53,56,136,South,South
D,R1Y6,Y06,Y11,625,625,599,06,11,Indiana,G Washington,22,20,10,8,108,88,136,South,South
D,R1Y7,Y07,Y10,562,651,562,07,10,Louisville,Creighton,19,21,10,8,58,62,136,South,South
D,R1Y8,Y08,Y09,722,786,722,08,09,Syracuse,Oklahoma St,20,21,11,10,61,69,136,South,South
D,R1Z1,Z01,Z16,559,559,820,01,16,Connecticut,UT San Antonio,28,16,2,10,91,66,136,West,West
D,R1Z2,Z02,Z15,783,783,508,02,15,Stanford,Alcorn St,24,22,6,6,69,57,136,West,West
D,R1Z3,Z03,Z14,842,708,842,03,14,North Carolina,Weber St,24,21,9,7,74,76,136,West,West
D,R1Z4,Z04,Z13,515,515,766,04,13,Arkansas,Siena,22,25,10,5,94,80,136,West,West
D,R1Z5,Z05,Z12,628,628,805,05,12,Iowa,UAB,18,20,9,11,77,64,136,West,West
D,R1Z6,Z06,Z11,592,592,728,06,11,Florida,Penn,20,21,8,5,75,61,136,West,West
D,R1Z7,Z07,Z10,607,673,607,07,10,Minnesota,Gonzaga,17,24,10,6,63,75,136,West,West
D,R1Z8,Z08,Z09,701,676,701,08,09,Missouri,New Mexico,20,23,8,8,59,61,136,West,West
D,R2W1,R1W1,R1W8,577,577,802,01,09,Duke,Tulsa,32,22,1,9,97,56,139,East,East
D,R2W2,R1W2,R1W7,738,668,738,02,10,Miami FL,Purdue,22,19,6,12,63,73,139,East,East
D,R2W3,R1W3,R1W6,789,549,789,03,06,Cincinnati,Temple,26,21,5,10,54,64,139,East,East
D,R2W4,R1W4,R1W5,678,790,678,04,12,Tennessee,Missouri St,20,20,8,10,51,81,139,East,East
D,R2X1,R1X1,R1X8,671,671,674,01,09,Michigan St,Mississippi,29,18,4,12,74,66,139,Midwest,Midwest
D,R2X2,R1X2,R1X7,669,821,669,02,10,Utah,Miami OH,25,22,4,7,58,66,139,Midwest,Midwest
D,R2X3,R1X3,R1X6,640,640,636,03,06,Kentucky,Kansas,25,21,8,9,92,88,139,Midwest,Midwest
D,R2X4,R1X4,R1X5,721,721,546,13,05,Oklahoma,Charlotte,19,22,10,10,85,72,139,Midwest,Midwest
D,R2Y1,R1Y1,R1Y8,518,518,722,01,09,Auburn,Oklahoma St,27,21,3,10,81,74,138,South,South
D,R2Y2,R1Y2,R1Y7,662,662,562,02,10,Maryland,Creighton,25,21,5,8,75,63,138,South,South
D,R2Y3,R1Y3,R1Y6,778,778,625,03,06,St Johns,Indiana,25,22,8,10,86,61,138,South,South
D,R2Y4,R1Y4,R1Y5,720,720,574,04,12,Ohio St,Detroit,23,23,8,5,75,44,138,South,South
D,R2Z1,R1Z1,R1Z8,559,559,701,01,09,Connecticut,New Mexico,28,23,2,8,78,56,138,West,West
D,R2Z2,R1Z2,R1Z7,607,783,607,02,10,Stanford,Gonzaga,24,24,6,6,74,82,138,West,West
D,R2Z3,R1Z3,R1Z6,592,842,592,14,06,Weber St,Florida,21,20,7,8,74,82,138,West,West
D,R2Z4,R1Z4,R1Z5,628,515,628,04,05,Arkansas,Iowa,22,18,10,9,72,82,138,West,West
D,R3W1,R2W1,R2W4,577,577,678,01,12,Duke,Missouri St,32,20,1,10,78,61,144,East,East
D,R3W2,R2W2,R2W3,789,738,789,10,06,Purdue,Temple,19,21,12,10,55,77,144,East,East
